korean_sentence,expected_title,rag_translation,rag_correct,normal_translation,normal_correct,both_correct,only_rag_correct,only_normal_correct,both_wrong
부산행은 정말 감동적인 영화였다.,Train to Busan,"""Train to Busan was truly an emotional movie.""",True,Train to Busan was truly an emotional movie.,True,True,False,False,False
어제 부산행를 봤는데 너무 재미있었어.,Train to Busan,"""I watched Train to Busan yesterday, and it was so much fun.""",True,"I watched ""Train to Busan"" yesterday, and it was so much fun.",True,True,False,False,False
부산행은 2016년 최고의 작품이다.,Train to Busan,"""Train to Busan is the best work of 2016.""",True,"""Train to Busan is the best work of 2016.""",True,True,False,False,False
아가씨은 정말 감동적인 영화였다.,The Handmaiden,"""The Handmaiden was truly a touching movie.""",True,"""Lady"" was truly an emotional movie.",False,False,True,False,False
어제 아가씨를 봤는데 너무 재미있었어.,The Handmaiden,"""I watched The Handmaiden yesterday, and it was so much fun.""",True,"I saw the young lady yesterday, and it was so much fun.",False,False,True,False,False
아가씨은 2016년 최고의 작품이다.,The Handmaiden,"""The Handmaiden is the best work of 2016.""",True,"""The Handmaiden is the best work of 2016.""",True,True,False,False,False
괴물은 정말 감동적인 영화였다.,The Host,"""The Host was truly a moving film.""",True,The monster was truly an impressive movie.,False,False,True,False,False
어제 괴물를 봤는데 너무 재미있었어.,The Host,"""I watched The Host yesterday, and it was so much fun.""",True,"I saw a monster yesterday, and it was so much fun.",False,False,True,False,False
괴물은 2006년 최고의 작품이다.,The Host,"""The Host is the best work of 2006.""",True,The Monster is the best work of 2006.,False,False,True,False,False
아이 캔 스피크은 정말 감동적인 영화였다.,I Can Speak,"""I Can Speak was truly an inspiring movie.""",True,"""I Can Speak"" was a truly touching movie.",True,True,False,False,False
어제 아이 캔 스피크를 봤는데 너무 재미있었어.,I Can Speak,"""I watched I Can Speak yesterday, and it was so much fun.""",True,"I watched ""I Can Speak"" yesterday, and it was so much fun.",True,True,False,False,False
아이 캔 스피크은 2017년 최고의 작품이다.,I Can Speak,"""I Can Speak is the best work of 2017.""",True,"""I Can Speak"" is the best work of 2017.",True,True,False,False,False
추격자은 정말 감동적인 영화였다.,The Chaser,"""The Chaser was truly an inspiring movie.""",True,"""The Chaser"" was truly an emotional movie.",True,True,False,False,False
어제 추격자를 봤는데 너무 재미있었어.,The Chaser,"""I watched The Chaser yesterday, and it was so much fun.""",True,"I watched ""The Chaser"" yesterday and it was so interesting.",True,True,False,False,False
추격자은 2008년 최고의 작품이다.,The Chaser,"""The Chaser is the best work of 2008.""",True,The Chaser is the best work of 2008.,True,True,False,False,False
터널은 정말 감동적인 영화였다.,Tunnel,"""Tunnel was truly an emotional movie.""",True,The Tunnel was truly an inspiring movie.,True,True,False,False,False
